原神2
どうてんほうせん	洞天宝銭
むしょくげんそ	無色元素
むそうじんはざま	無想刃狭間
むそうのいかずち	無相の雷
むそうのいわ	無相の岩
むそうのかぜ	無相の風
むそうのくさ	無相の草
むそうのこおり	無相の氷
むそうのほのお	無相の炎
むそうのみず	無相の水
むひょうか	霧氷花
むひょうばな	霧氷花
むぼうのおか	無妄の丘
むみょうとりで	無明砦
むめいいせき	無名遺跡
むらたじん	ムラタ人
めいうんちょう	明蘊町
めいかんきょうこく	明冠峡谷
めいかんさんち	明冠山地
めいさいちょう	暝彩鳥
めいてい	命定
めいていち	命定値
めいろんは	明論派
めらっく	メラック
もううんじんじゃ	曚雲神社
もうじゃきょうろ	亡者狭路
もじゃもじゃだじゅう	モジャモジャ駄獣
もしりさいじょう	モシリ祭場
もな	モナ
もんど	モンド
もんどじょう	モンド城
やえどう	八重堂
やえみこ	八重神子
やざだはいけ	ヤザダハ池
やしおりじま	ヤシオリ島
やしざい	ヤシ材
やすなゆうきょう	ヤスナ幽境
やちまたひこのち	八衢彦の地
やちまたひめのち	八衢姫の地
ゆうとうたけ	ユウトウタケ
ゆうや	幽夜
ゆうやのわるつ	幽夜のワルツ
ゆぇーぐぇい	月桂
ゆくあき	行秋
ゆめみざい	夢見材
よいみや	宵宮
ようごうざん	影向山
ようこうのはま	瑶光の浜
よぉーよ	ヨォーヨ
よどまりいし	夜泊石
らいおんごんげん	雷音権現
らいきん	来歆
らいきんのよきょう	来歆の余響
らいけいじゅつし	雷蛍術師
らいでんえい	雷電影
らいでんしょうぐん	雷電将軍
らいでんまこと	雷電眞
らいめいせん	雷鳴仙
らぐゔぃんど	ラグヴィンド
らくか	落霞
らくらくだじゅう	ラクラク駄獣
らっか	落霞
らんばどさかば	ランバド酒場
りーゆえ	璃月
りーゆえこう	璃月港
りゔぃんぐすとん	リヴィングストン
りさ	リサ
りしゃこう	璃沙郊
りしゅぼらんとら	リシュボラン虎
りすいじょうざんしんくん	理水畳山真君
りつほん	立本
りとう	離島
りね	リネ
りねっと	リネット
りゅううんしゃくふうしんくん	留雲借風真君
りゅうのこ	リュウノコ
りゅうみんのたに	龍眠の谷
りるぱぁーる	リルパァール
りるふぁる	リルファル
りろーる	リロール
りんじほんこう	臨時本坑
るーすたん	ルースタン
るっかでゔぁーただけ	ルッカデヴァータダケ
るりほう	瑠璃峰
るろうがくしょう	流浪楽章
れいくかん	霊矩関
れいこう	霊光
れいこうぜっしょう	霊光絶唱
れいこくぎ	霊谷木
れいこくぼく	霊谷木
れいら	レイラ
れいんどっと	レインドット
れざー	レザー
れつえんか	烈焔花
れつえんばな	烈焔花
れつかいか	烈開花
れっちゅうすなはら	列柱砂原
ろーえふぁるた	ローエファルタ
ろーかぱーらみつりん	ローカパーラ密林
ろーでしあ	ローデシア
ろーるふぇーず	ロールフェーズ
ろーれんす	ローレンス
ろくかのいけ	漉華の池
ろさりあ	ロサリア
ろざりん	ロザリン
ろざりん・くるーずちか・ろーえふぁるた	ロザリン・クルーズチカ・ローエファルタ
わくかうはま	ワクカウ浜
わたつみじま	海祇島
わはくえん	和璞鳶
わるか	ワルカ
